No.,Time,Source,Destination,Protocol,Length,Info,Time,Result
142,2017-03-06 16:05:09.761849,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:09,OK
143,2017-03-06 16:05:09.765805,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:09,OK
144,2017-03-06 16:05:09.769310,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:09,THR
145,2017-03-06 16:05:09.971676,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:09,OK
146,2017-03-06 16:05:09.975935,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:09,OK
147,2017-03-06 16:05:09.979330,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:09,THR
148,2017-03-06 16:05:10.180703,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:10,OK
149,2017-03-06 16:05:10.184463,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:10,OK
150,2017-03-06 16:05:10.187641,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:10,THR
151,2017-03-06 16:05:10.389467,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:10,OK
152,2017-03-06 16:05:10.393370,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:10,OK
153,2017-03-06 16:05:10.396574,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:10,THR
154,2017-03-06 16:05:10.614428,192.168.233.145,192.168.233.114,SMPP,78,"[TCP Previous segment not captured] SMPP Submit_sm - resp: ""Ok""",16:05:10,OK
155,2017-03-06 16:05:10.618817,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:10,OK
156,2017-03-06 16:05:10.622983,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:10,THR
157,2017-03-06 16:05:10.823879,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:10,OK
158,2017-03-06 16:05:10.827786,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:10,OK
159,2017-03-06 16:05:10.831134,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:10,THR
160,2017-03-06 16:05:11.032967,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:11,OK
161,2017-03-06 16:05:11.036782,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:11,OK
162,2017-03-06 16:05:11.040342,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:11,THR
163,2017-03-06 16:05:11.242055,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:11,OK
164,2017-03-06 16:05:11.245809,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:11,OK
165,2017-03-06 16:05:11.249245,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:11,THR
166,2017-03-06 16:05:11.451402,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:11,OK
167,2017-03-06 16:05:11.456196,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:11,OK
168,2017-03-06 16:05:11.459546,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:11,THR
169,2017-03-06 16:05:11.662072,192.168.233.145,192.168.233.114,SMPP,78,"[TCP Previous segment not captured] SMPP Submit_sm - resp: ""Ok""",16:05:11,OK
170,2017-03-06 16:05:11.665950,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:11,OK
171,2017-03-06 16:05:11.669637,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:11,THR
172,2017-03-06 16:05:11.871401,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:11,OK
173,2017-03-06 16:05:11.875301,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:11,OK
174,2017-03-06 16:05:11.878654,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:11,THR
175,2017-03-06 16:05:12.080894,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:12,OK
176,2017-03-06 16:05:12.085058,192.168.233.145,192.168.233.114,SMPP,78,"SMPP Submit_sm - resp: ""Ok""",16:05:12,OK
177,2017-03-06 16:05:12.088385,192.168.233.145,192.168.233.114,SMPP,70,"SMPP Submit_sm - resp: ""Throttling error (ESME exceeded allowed message limits)""",16:05:12,THR
